Vivado Simulator 2018.2
Time resolution is 1 ps
Zeit:                11000, Q: x
Zeit:                22000, Q: 1
Zeit:                33000, Q: 1
Zeit:                44000, Q: 0
Zeit:                55000, Q: 0
Zeit:                66000, Q: 0
Zeit:                77000, Q: 0
Zeit:                88000, Q: 1
Zeit:                99000, Q: 1
Zeit:               110000, Q: 0
Zeit:               121000, Q: 0
Zeit:               132000, Q: 0
Zeit:               143000, Q: 0
Zeit:               154000, Q: 1
Zeit:               165000, Q: 1
Zeit:               176000, Q: 0
Zeit:               187000, Q: 0
Zeit:               198000, Q: 0
Zeit:               209000, Q: 0
Zeit:               220000, Q: 1
Zeit:               231000, Q: 1
Zeit:               242000, Q: 0
Zeit:               253000, Q: 0
Zeit:               264000, Q: 0
Zeit:               275000, Q: 0
Zeit:               286000, Q: 1
Zeit:               297000, Q: 1
Zeit:               308000, Q: 0
Zeit:               319000, Q: 0
Zeit:               330000, Q: 0
Zeit:               341000, Q: 0
Zeit:               352000, Q: 1
Zeit:               363000, Q: 1
Zeit:               374000, Q: 0
Zeit:               385000, Q: 0
Zeit:               396000, Q: 0
Zeit:               407000, Q: 0
Zeit:               418000, Q: 1
Zeit:               429000, Q: 1
Zeit:               440000, Q: 0
Zeit:               451000, Q: 0
Zeit:               462000, Q: 0
Zeit:               473000, Q: 0
Zeit:               484000, Q: 1
Zeit:               495000, Q: 1
Zeit:               506000, Q: 0
Zeit:               517000, Q: 0
Zeit:               528000, Q: 0
Zeit:               539000, Q: 0
Zeit:               550000, Q: 1
Zeit:               561000, Q: 1
Zeit:               572000, Q: 0
Zeit:               583000, Q: 0
Zeit:               594000, Q: 0
Zeit:               605000, Q: 0
Zeit:               616000, Q: 1
Zeit:               627000, Q: 1
Zeit:               638000, Q: 0
Zeit:               649000, Q: 0
Zeit:               660000, Q: 0
Zeit:               671000, Q: 0
Zeit:               682000, Q: 1
Zeit:               693000, Q: 1
Zeit:               704000, Q: 0
Zeit:               715000, Q: 0
Zeit:               726000, Q: 0
Zeit:               737000, Q: 0
Zeit:               748000, Q: 1
Zeit:               759000, Q: 1
Zeit:               770000, Q: 0
Zeit:               781000, Q: 0
Zeit:               792000, Q: 0
Zeit:               803000, Q: 0
Zeit:               814000, Q: 1
Zeit:               825000, Q: 1
Zeit:               836000, Q: 0
Zeit:               847000, Q: 0
Zeit:               858000, Q: 0
Zeit:               869000, Q: 0
Zeit:               880000, Q: 1
Zeit:               891000, Q: 1
Zeit:               902000, Q: 0
Zeit:               913000, Q: 0
Zeit:               924000, Q: 0
Zeit:               935000, Q: 0
Zeit:               946000, Q: 1
Zeit:               957000, Q: 1
Zeit:               968000, Q: 0
Zeit:               979000, Q: 0
Zeit:               990000, Q: 0
